Zone,Disponibilité alimentaire en quantité (kg/personne/an),%_Exportations,%_Nourriture,%_Production,Rapport Importation/Pop,Rapport Exportation/Pop,Rapport Production/Pop,Evo%_Import/Pop,Evo%_Export/Pop,distance,Political_Stability,PIB/Hab
Belgique,12.65,81.8976279650437,17.97752808988764,57.802746566791505,29.597851020880668,57.444349910348286,40.543801842212275,-4.22317122965994,-33.32550082882929,503.78,0.43,44162.256256
Belize,25.69,0.0,50.0,100.0,0.0,0.0,53.22418826459873,-0.744508085561705,0.0,8690.43,0.04,6101.585949
Bénin,14.4,0.0,114.18439716312056,12.76595744680851,11.006516394608848,0.0,1.6107097162842214,0.009990245823914279,0.0,4105.12,0.03,1095.274459
Bolivie (État plurinational de),36.0,0.18726591760299627,75.46816479400749,99.812734082397,0.08934271014857247,0.08934271014857247,47.61966450918912,-0.24138093561374774,0.003748831313032497,9563.15,-0.28,3280.01179
Bosnie-Herzégovine,16.7,11.267605633802818,78.87323943661971,85.91549295774648,2.9837163679220655,2.386973094337652,18.200669844324597,-38.85709435239687,-13.310306950808553,1239.17,-0.35,5255.95028
Botswana,3.39,0.0,87.5,62.5,1.3604948573294393,0.0,2.2674914288823986,17.406411271658115,-0.26549605819243993,7952.09,1.02,6705.339802
Brésil,48.03,29.731061672768234,70.27597859757815,99.97887918896086,0.014434609134818253,20.31911812544583,68.32862810785133,0.0597189796208113,-0.35022499589867095,8624.88,-0.42,9896.717511
Bulgarie,22.06,20.930232558139537,73.0232558139535,49.76744186046512,15.20603330346568,6.335847209777367,15.065236698803961,0.9033749713763655,-33.786207761073854,1879.42,0.33,8242.455771
Cameroun,3.16,0.0,96.29629629629629,100.0,0.0,0.0,3.2972302899205745,-0.0010613470178100215,0.007119501691747132,4428.31,-1.1,1479.862223
Canada,39.02,10.193871169480925,89.61851156973108,88.6178861788618,4.954794982426131,4.437536165579448,38.576618077460594,-3.4421763158722456,-0.3475947970217703,6840.47,1.1,45125.109808
Chili,36.36,13.264129181084197,77.50865051903114,82.12226066897347,8.391787547659263,6.226164954714937,38.548082154409,0.04890728555490398,1.0885369071164632,11708.6,0.42,15081.989132
Chine - RAS de Hong-Kong,53.51,71.21374865735768,41.997851772287866,2.577873254564984,124.13906750893268,90.74333159693755,3.284826483147061,37.73894252655866,0.02626777271112246,9773.82,0.83,45737.483211
"Chine, continentale",12.33,3.0821917808219177,93.73929794520548,97.58133561643835,0.31808097726771595,0.405342130323461,12.833019251004576,0.0005007895834978626,0.2787550145430231,8021.61,-0.23,8729.13693
Chypre,25.08,2.564102564102564,76.92307692307693,64.1025641025641,11.8676452387855,0.8476889456275357,21.192223640688393,1.7855536688434768,0.07522205622761646,2882.55,0.54,18987.256286
Colombie,31.99,0.12180267965895249,95.31059683313033,95.24969549330086,1.5947711461491418,0.040891567849978,31.977206058682793,0.13608164346020146,0.726541717537998,8604.41,-0.77,6450.319585
Costa Rica,26.52,2.0,87.33333333333333,88.66666666666667,3.434375349750725,0.6060662381913045,26.868936559814493,-1.1894169753270631,-12.445228945240288,8917.32,0.61,12118.133618
Côte d'Ivoire,2.53,0.0,95.38461538461539,89.23076923076924,0.286445364434207,0.0,2.3734044481691434,-0.09395190155314026,0.10010393139113205,4365.29,-1.09,2076.147823
Danemark,28.98,45.42483660130719,54.248366013071895,56.5359477124183,23.201961385656023,24.248666410572838,30.179994885101447,-2.933189691264971,-60.176302940536715,1224.21,0.87,57888.203513
Dominique,35.19,0.0,75.0,0.0,55.97693750174928,0.0,0.0,-2.297383435287685,0.0,6754.71,1.2,7395.991648
